name,Unnamed: 0,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,pass_yd_p25,pass_yd_p75,rush_yd_p25,rush_yd_p75,rec_yd_p25,rec_yd_p75,pass_td_p25,pass_td_p75,rush_td_p25,rush_td_p75,rec_td_p25,rec_td_p75
Russell Wilson,45,20.61530868099509,31.889053813108625,209.7214545596704,1.181543501595407,0.6813069816937511,3.276845279437464,4.502305937720787,28.290929347960525,0.3183523812583024,0.0,0.0,0.0,0.0,0.7506971996737651,8,NYG,103.09379520155548,189.01417201347343,14.151329889367371,25.42830416556111,0.0,0.0,0.5885220652897936,1.063646397649852,0.15969947910366572,0.2893502476663319,0.0,0.0
Sam Darnold,46,25.756133117670142,37.11233990122443,299.7368312517588,2.6664765560161907,0.5790754595166805,2.4086854479533275,3.41275835129409,5.453822783242618,0.0367788596481495,0.0,0.0,0.0,0.0,0.2736311050772636,9,SEA,149.09627472874985,270.93451209237793,2.7113498957888997,4.90235400862522,0.0,0.0,1.3166946643600472,2.402291338505506,0.01842080262224862,0.032876287843977066,0.0,0.0
Saquon Barkley,47,0.0,0.0,0.0,0.0,0.0,0.2188306042015207,25.98783814842099,139.64791343408925,0.7093819223056257,1.9762195907091789,1.445243695090927,8.166198567684294,0.0180216412275932,0.0930805384687149,9,PHI,0.0,0.0,69.60565284276186,125.6750456278537,4.099972745427202,7.413578115334375,0.0,0.0,0.3553730477595992,0.6443114037524895,0.008916956524618736,0.01629347537183668
Spencer Rattler,48,16.164383561643834,30.72602739726027,178.65296803652967,0.680365296803653,1.2328767123287672,2.328767123287671,2.968036529680365,29.954337899543376,0.0,0.0,0.0,0.0,0.0,0.776255707762557,3,NO,143.2551963150776,214.22919245183357,24.10346342063348,36.07349047473754,0.0,0.0,0.5449976933173453,0.8169378262741944,0.0,0.0,0.0,0.0
Tank Bigsby,49,0.0,0.0,0.0,0.0,0.0,0.0,11.421017574902818,39.73958381846191,0.3580375452038277,1.069684366835712,0.4404582686970578,1.6414459538841255,0.0,0.4084992126486625,7,PHI,0.0,0.0,19.930550846151714,35.84109340043172,0.8075323138464849,1.475208337990145,0.0,0.0,0.17863449325354158,0.3253883511659005,0.0,0.0
Tony Pollard,50,0.0,0.0,0.0,0.0,0.0,0.0,13.87182025264254,55.80585330965343,0.2992830736209301,3.06523645161507,1.950258172638867,11.53375485523196,0.0,0.3320415336524094,8,TEN,0.0,0.0,27.841198359890754,50.41592544553314,5.757944985265173,10.4206361624075,0.0,0.0,0.14860156431695096,0.269755698756592,0.0,0.0
Travis Etienne,51,0.0,0.0,0.0,0.0,0.0,0.0,11.595781288303725,40.36565588088453,0.0,3.052228435727377,2.3106143011120235,22.20592218765716,0.0,0.0,8,JAC,0.0,0.0,32.11998110131429,48.590778258605575,17.700141447328903,26.632466074658993,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Lawrence,52,6.323361019272639,14.065881783727116,65.78251753890814,0.0,1.1936134182727198,0.3872268365454397,1.7744536730908795,6.387226836545439,0.3872268365454397,0.0,0.0,0.0,0.0,0.0,2,JAC,52.291849120450294,79.15788688672681,5.115244004719712,7.709761890769778,0.0,0.0,0.0,0.0,0.30836936973912815,0.46590966951057783,0.0,0.0
Tua Tagovailoa,53,27.77360214414149,38.8589233201492,257.0625588534068,1.6277254107565473,0.7059938399450931,1.612977322836661,1.3302855974231031,0.6931212295736755,0.0,0.0,0.0,0.0,0.0,0.632158372159855,8,MIA,127.06482363274434,232.19372071842508,0.34876592155661573,0.6302715320171244,0.0,0.0,0.8130595979448823,1.4672358023225445,0.0,0.0,0.0,0.0
Tyrod Taylor,54,11.0,14.0,83.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1,NYJ,41.15960789458126,74.92032112571589,2.9763513120678415,5.38866436449994,0.0,0.0,1.0006521074268713,1.8123920780125489,0.0,0.0,0.0,0.0
Zach Charbonnet,55,0.0,0.0,0.0,0.0,0.0,0.0,9.536668260768783,44.90869649218587,0.4543927452002771,3.173318375669248,2.606090163617679,19.1610557911858,0.0,0.0,8,SEA,0.0,0.0,22.334456053466216,40.46520909729107,9.428437223639794,17.192800834426357,0.0,0.0,0.2241257453823835,0.40888506509337563,0.0,0.0
