,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,targets,rec,rec_yd,rec_td,off_fum,def_pass_cmp,def_pass_att,def_pass_yd,def_pass_td,def_int,def_sacks,def_rush_att,def_rush_yd,def_rush_td,def_targets,def_rec,def_rec_yd,def_rec_td,def_fum,opps,games,next_op,next_game_location,next_game_week
36,Los Angeles Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.966666666666667,14.015873015873016,96.07460317460317,0.9396825396825397,0.09999999999999999,1.2825396825396826,13.757142857142856,72.37460317460318,0.5761904761904761,13.096825396825395,8.966666666666667,96.07460317460315,0.9396825396825397,0.5428571428571429,,,,BYE,
37,MIA,25.535858585858588,35.41767676767677,242.59848484848484,1.8146464646464646,0.6906565656565657,2.1818181818181817,22.236111111111114,86.78939393939393,0.5381313131313131,34.497727272727275,25.535858585858588,242.59848484848487,1.8146464646464646,1.1037878787878788,13.266161616161616,18.105555555555554,133.61363636363637,1.1267676767676766,0.41792929292929293,1.401010101010101,14.873484848484848,70.77323232323232,0.4977272727272727,17.889646464646464,13.266161616161616,133.61363636363637,1.1267676767676766,0.3068181818181818,"['MIA', 'MIA', 'MIA', 'NYJ', 'New England Patriots', 'Miami Dolphins', 'New York Jets', 'Miami Dolphins', 'San Francisco 49ers', 'Cleveland Browns']",10.0,LAC,HOME,6.0
38,MIN,23.060569985569987,34.71818181818182,285.0072871572872,2.403282828282828,0.8238455988455988,4.086688311688311,26.10772005772006,109.12290764790765,0.7136363636363636,33.4010101010101,23.060569985569987,285.0072871572872,2.403282828282828,1.1528138528138527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['CHI', 'Minnesota Vikings', 'Cincinnati Bengals', 'Minnesota Vikings', 'Chicago Bears', 'Arizona Cardinals', 'Atlanta Falcons', 'Chicago Bears', 'Seattle Seahawks', 'Green Bay Packers']",10.0,PHI,HOME,7.0
39,Miami Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.625,14.207070707070708,99.80555555555556,0.7449494949494949,0.27272727272727276,1.1717171717171717,8.347222222222223,31.07828282828283,0.125,14.005050505050505,10.625,99.80555555555557,0.7449494949494949,0.5858585858585859,,,,BYE,
40,Minnesota Vikings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.561904761904762,13.311111111111112,100.74603174603175,0.3222222222222222,0.5079365079365079,2.1523809523809523,13.407936507936508,63.163492063492065,0.34285714285714286,12.866666666666667,8.561904761904762,100.74603174603175,0.3222222222222222,0.8936507936507937,,,,BYE,
41,NOR,20.059848484848484,32.717171717171716,179.47095959595958,1.0742424242424242,0.6901515151515152,2.1914141414141417,23.77626262626263,101.46919191919191,0.3194444444444444,30.80479797979798,20.059848484848484,179.47095959595958,1.0742424242424242,0.9234848484848485,18.202738927738928,26.855283605283606,164.20615773115773,1.3932400932400932,0.30833333333333335,2.083838383838384,23.413209013209013,100.58119658119658,0.5566239316239316,25.75689588189588,18.202738927738928,164.20615773115773,1.3932400932400932,0.6337412587412588,"['NOR', 'NOR', 'NOR', 'NOR', 'New Orleans Saints', 'New York Giants', 'New Orleans Saints', 'New Orleans Saints', 'New Orleans Saints']",9.0,NWE,HOME,6.0
42,NWE,18.393939393939394,26.35151515151515,195.289898989899,1.2474747474747474,0.5838383838383838,2.780808080808081,22.38080808080808,100.89494949494949,0.6838383838383838,25.3969696969697,18.393939393939394,195.289898989899,1.2474747474747474,1.4585858585858587,9.958441558441557,14.23116883116883,106.5116883116883,0.6584415584415584,0.42467532467532465,1.2181818181818183,10.387012987012985,31.015584415584414,0.24285714285714283,13.806493506493506,9.958441558441557,106.5116883116883,0.6584415584415584,0.5974025974025974,"['NWE', 'MIA', 'NWE', 'CAR', 'New England Patriots', 'New England Patriots', 'New England Patriots', 'New England Patriots', 'New England Patriots']",9.0,NOR,AWAY,6.0
43,NYG,23.73160173160173,39.833694083694084,259.74386724386727,1.251984126984127,0.8901515151515151,3.5568181818181817,27.962481962481963,107.51064213564213,1.067099567099567,37.53679653679654,23.73160173160173,259.74386724386727,1.251984126984127,1.0456349206349207,14.758585858585858,23.475757575757576,165.0121212121212,0.7333333333333333,0.3929292929292929,1.5373737373737373,16.143434343434343,75.37373737373737,0.702020202020202,22.327272727272728,14.758585858585858,165.0121212121212,0.7333333333333333,0.5222222222222221,"['NYG', 'NYG', 'NYG', 'Los Angeles Chargers', 'New York Giants', 'New York Giants', 'New York Giants', 'New York Giants', 'New York Giants', 'Indianapolis Colts']",10.0,PHI,HOME,6.0
44,NYJ,20.602777777777778,31.65277777777778,220.34444444444443,1.5305555555555554,0.425,2.4194444444444443,23.8,116.35,0.6805555555555556,30.894444444444442,20.602777777777778,220.34444444444443,1.5305555555555554,1.1472222222222221,16.11217948717949,23.957478632478633,172.00726495726497,1.363888888888889,0.125,1.8797008547008547,25.64380341880342,116.5224358974359,0.7863247863247862,23.356410256410253,16.112179487179485,172.00726495726497,1.363888888888889,1.2935897435897434,"['NYJ', 'NYJ', 'NYJ', 'NYJ', 'New York Jets', 'New York Jets', 'Jacksonville Jaguars', 'New York Jets', 'New York Jets']",9.0,DEN,HOME,6.0
45,New England Patriots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.60151515151515,29.81631701631702,200.65881895881898,1.5095571095571096,0.7242424242424242,1.8535353535353536,26.844133644133645,126.96779331779331,0.7658119658119659,28.851165501165504,19.601515151515155,200.65881895881898,1.5095571095571096,1.4893939393939395,,,,BYE,
46,New Orleans Saints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.34040404040404,24.544949494949496,156.04040404040404,1.0631313131313131,0.38181818181818183,1.9414141414141417,21.17070707070707,95.28030303030303,0.35,23.213131313131314,14.34040404040404,156.04040404040404,1.0631313131313131,0.4651515151515152,,,,BYE,
47,New York Giants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.214646464646464,36.07828282828283,226.2550505050505,0.827020202020202,0.7916666666666667,2.5694444444444446,26.7979797979798,108.93813131313132,1.3409090909090908,34.689393939393945,22.214646464646464,226.25505050505052,0.827020202020202,1.2234848484848486,,,,BYE,
48,New York Jets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.567063492063493,28.003282828282828,189.10559163059162,1.2433261183261184,0.4111111111111111,1.4083333333333332,18.980844155844157,72.90357142857142,0.5809884559884559,27.327813852813854,18.567063492063493,189.10559163059162,1.2433261183261184,0.6111111111111112,,,,BYE,
