,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,week
45,Matthew Stafford,22.011127456504692,33.957606797249724,241.50171138164566,2.837338904350376,0.14380761210370907,1.1361279011781136,2.5615227552097024,1.1242750945271043,0.0,0.0,0.0,0.0,0.0,0.6716892590706612,10,LAR,11
46,Patrick Mahomes,24.620168887594534,35.24153921941475,270.9495586381759,2.4306304308172066,0.20315976039030315,1.4053844348165532,5.818205576083744,31.875215779833734,0.47338197204248106,0.0,0.0,0.0,0.0,0.3643520434188396,10,KC,11
47,Rhamondre Stevenson,0.0,0.0,0.0,0.0,0.0,0.0,11.926121805974704,43.832751370678764,0.6290639012132114,1.8884293296100503,1.6105797774674486,10.53349408916777,0.0,0.31731784677807817,10,NE,11
48,Rico Dowdle,0.0,0.0,0.0,0.0,0.0,0.0,18.45277940728139,106.52307013804898,0.22539690467725365,2.7227351273046434,2.0103163604486505,23.23111885223332,0.2161044148391694,0.24152888314058285,10,CAR,11
49,Russell Wilson,8.823753684091958,14.754016612736502,97.82557576315848,0.3772405038437902,0.45065379244744797,1.2738181426826392,1.9863000688112427,12.654792522959552,0.04708179793776449,0.0,0.0,0.0,0.0,0.46254660362248945,8,NYG,11
50,Sam Darnold,19.137515038987935,29.397948233741527,260.47264701543753,1.8460566935169314,0.6016494807896786,1.3950449295850729,2.134370982473251,3.9103017078592672,0.0,0.0,0.0,0.0,0.0,0.4687295527115865,10,SEA,11
51,Saquon Barkley,0.0,0.0,0.0,0.0,0.0,0.0177971278109894,15.740278752905645,53.089462119652495,0.22969275789807553,2.5839755612061626,2.2396295352641493,15.397065098661358,0.15127309038741857,0.0,10,PHI,11
52,Spencer Rattler,20.832593777460403,31.082839743723543,212.9858107551529,1.142271720980976,1.068931656585806,2.454657785929009,3.69118039512159,20.580933351306268,0.0,0.25716425365861156,0.15127309038741857,0.0,0.0,0.5097200220138653,10,NO,11
53,Tank Bigsby,0.0,0.0,0.0,0.0,0.0,0.0,2.796451731006809,15.182324531980184,0.04441278245173241,0.9093616684658524,0.8148258886757361,-0.7260003237722714,0.0,0.0755017301679451,5,PHI,11
54,Tony Pollard,0.0,0.0,0.0,0.0,0.0,0.0,11.12824631523876,42.365876586328696,0.24405998961454453,3.6035341947337516,3.361656016452709,21.752094712070235,0.0,0.2052706458866871,9,TEN,11
55,Travis Etienne,0.0,0.0,0.0,0.0,0.0,0.0,12.099705045968653,55.43725886260931,0.18001497756102808,3.402958453138701,2.0564347152235003,13.497480750589549,0.051886670002884556,0.0,10,JAC,11
56,Trevor Lawrence,22.5557677652715,39.42471228274703,249.88817318056414,1.2602442315154965,0.387041207734096,4.582902747759838,4.147985219131959,18.76736348244208,0.32038508980099834,0.0,0.0,0.0,0.0,0.2151385878013704,7,JAC,11
57,Tua Tagovailoa,18.847639458064272,28.964820847785287,174.65777502618232,1.2316159480404205,1.8577326787016486,1.9590463226501413,1.8791517604942203,5.218825200671831,0.0,0.0,0.0,0.0,0.0,1.2033469993648362,9,MIA,11
58,Tyrod Taylor,12.294323078127608,22.572815619309257,127.16802195039692,0.5454312955515049,1.5028939816680615,2.8825695763564543,3.750169386705067,17.81144782409787,0.0,0.0,0.0,0.0,0.0,0.2163361576862584,4,NYJ,11
59,Zach Charbonnet,0.0,0.0,0.0,0.0,0.0,0.0,11.495087758756377,36.95901167379874,0.9973084000155372,1.6304272094980814,1.4266774406822862,8.519642833583806,0.0,0.0,9,SEA,11
